RIL;DTF_LD;CLN_LD;RLN_LD;TLN_LD;DTF_SD;CLN_SD;RLN_SD;TLN_SD;AssayID;44606753;44607520;44606224;44607217;44606517;44607429;44606240;44607315;44606468;21607648;44607652;21607761;44606134;44606256;44606476;21607640;44607660;21607615;21607242;44607693;21607165;44607873;21607590;44606305;21607548;44608036;44607963;21607540;21607234;44606411;44606883;21607361;44607299;21607065;44606973;21607336;44607152;44607611;21607411;21607057;44607685;21606980;21606928;21607463;44607421;44606232;44607372;44607380;44608044;21607700;21606988;44606704;21607386;21607030;44608060;44606541;44606419;44607470;44606444;44606322;44607930;21607556;21607038;44606142;21607005;44606598;21607259;44607898;44607063;44607627;44607727;44607479;21607013;21607488;44606664;44607914;44606590;44606940;44606802;44607824;21607157;44606810;21607656;44607619;44606769;21607209;44606533;21607479;21606963;44606607;44607987;21607175;44606436;44606965;21607573;44607718;44606908;44606721;44606208;44607120;21607496;44607578;44607735;44606387;44607389;21607683;44606900;44606843;44606330;21607369;44607397;44606395;44606427;44607348;44608003;21607250;44607340;44606102;44607784;44607014;44608028;44607849;21607623;44606623;21607327;44606493;44606680;44607955;44607291;21607606;21607192;21607021;44606916;21607200;44606859;21607750;44607405;21607513;44606118;21607733;44607545;44607635;44607841;21607394;21607140;21607598;21607184;44607079;44607751;44606289;44606688;44607979;44606574;21607529;44607234;44607144;21607402;44607857;44606159;44607242;44606167;44607209;21607148;44607668;44606338;44607643;21606996;21607769;44607095;44606452;44606346;44606501;44607676;44606403;44607767;44606460;44606745;44607800;44607995;44606509;44607413
9;18.08;3.42;13.25;16.67;55.64;12.58;60.33;72.92;;A;A;A;A;A;A;A;A;-;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;-;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;-;H;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B
10;17;3.17;12;15.17;42.17;8.42;33;41.42;;A;A;H;A;-;A;H;-;-;-;-;-;A;-;-;A;A;H;-;H;A;-;H;A;-;H;-;-;H;-;-;H;-;A;-;-;H;-;-;-;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;-;B;-;A;A;A;A;A;A;A;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;H;B;-;A;A;-;B;B;B;-;B;H;B;B;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;B;-;A;A;A;-;-;A;-;A;A;A;A;A;A;A;A;A;A;-;-;A;-;-;-;A;A;H;A;A;H;A;H;-;-;A;-;A;A;B;B;B;B;B;A;A;A;A;-;A;A;A;A;A;A;B;H;H;H;-;B
11;20.82;3.64;16.36;20;77.17;14;72.18;86.18;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;-;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;-;H;H;H;H;H;H;B;A;A;-;A;A;A;A;A;A;A;B;A;A;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B;A;A;B;A;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;-;A;A;A;B;B;A;A;A;A;A
12;18.5;3.83;14.67;18.5;66.33;14.25;68.58;82.83;;B;B;-;B;-;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;-;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;A;B;B;B;B;B;B;-;A;B;B;B;B;B;A;A;A;A;A;-;-;A;H;-;H;H;B;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;B;B;B;B;B;B;B;H;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;-;B;B;-;B;B;B;B;B;B;-;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;-;B;B;B;B;A;A;A;A;A;-;B;B;A;A;A;A;A;A;A;A;A;A;A;-;-;B;B;-;B;B
13;20;3.25;14.33;17.58;56.67;9.67;44.42;54.08;;B;B;B;B;B;B;B;-;B;B;B;B;H;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;-;B;B;A;A;-;B;B;B;B;B;B;B;A;A;H;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;B;A;B;B;B;B;B;A;H;H;H;H;H;H;H;-;H;H;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;B;B;A;A;A;B;B;B;H;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A
14;19.67;3.5;16.25;19.75;63.67;14.92;61.33;76.25;;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;B;B;-;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;-;B;B;A;A;A;A;A;B;-;-;H;H;H;H;A;A;A;A;A;A;B;B;B;-;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;-;A;A;A;A;A
15;21.73;3.09;15.64;18.73;70.83;11.17;69.17;80.33;;B;B;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;-;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;H;B;B;B;B;B;B;B;B;H;-;B;B;B;B;B;A;B;B;H;H;B;-;-;B;B;H;B;B;B;B;H;B;B;B;H;B;B;-;B;H;B;-;B;B;A;A;A;B;-;-;H;B;H;A;A;A;A;A;H;H;H;A;A;A;A;A;A;A;A;A;A;-;B;B;-;-;B;B;B;B;B;-;-;A;A;-;B;B;-;A;A;H;B;-;H;B;-;B;B;-;-;-;B;B;-;B;B;B;B;-;B;-;B;-;A;A;A;B;H;B;H;B;H;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B
16;21.08;3.67;16.17;19.83;64.33;10.64;56.82;67.45;;B;B;B;A;-;-;H;-;A;-;-;-;-;A;-;A;A;A;-;-;-;H;H;A;-;B;B;B;B;B;B;B;B;B;B;B;H;H;H;H;B;B;H;-;-;H;B;A;A;A;B;B;-;B;B;B;A;A;-;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;H;A;A;H;A;A;A;A;A;A;A;-;B;-;B;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;B;B;-;B;B;B;B;B;B;B;-;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;H;-;A;-;A;-;A;-;A;A;A;-;B;H;-;-;H;-;H;-;A;-;A;-;H;B;B;B;B;A;A;A
17;27.5;6.33;26.67;33;90;13.5;78;91.5;;B;B;B;B;H;-;-;-;B;-;B;B;B;B;B;H;-;-;A;A;A;A;A;A;A;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;A;A;A;A;H;-;A;H;A;A;A;-;H;B;-;-;-;-;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;-;A;A;A;A;A;A;A;A;A;-;A;-;A;A;A;A;A;H;H;H;B;A;B;B;B;B;-;B;B;B;B;H;A;-;A;-;-;-;-;H;A;-;-;H;H;H;H;H;H;H;H;H;-;B;B;-;B;-;B;B;B;B;-;B;-;A;B;-;B;H;B;A;A;-;A;-;-;A;A;-;A;A;A;-;A;A;H;A;A;A;A;A
18;15.92;2.83;10.08;12.92;42.08;6.42;32.08;38.5;;B;B;H;B;H;B;A;H;A;-;A;-;-;A;-;A;A;A;-;H;A;A;A;A;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;-;-;H;-;-;H;A;A;A;H;A;-;A;A;-;A;-;A;B;B;B;-;B;B;-;B;B;B;B;H;H;B;-;-;B;H;B;A;A;A;-;B;B;B;H;H;H;H;H;H;H;B;H;H;H;H;H;H;H;H;-;B;B;B;B;B;B;B;B;B;B;H;A;A;A;A;A;H;H;A;A;A;-;H;H;H;H;H;-;H;H;H;H;H;H;H;H;H;H;H;H;B;-;H;-;A;A;-;-;-;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;H;A;A;A
19;16.67;3.83;11;14.83;53.75;12.42;47.5;59.92;;B;B;-;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;H;H;H;H;H;B;B;B;B;B;B;B;B;B;B;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;-;B;B;B;B;B;B;B;B;B;B
20;24.83;5.5;22.67;28.17;75.67;13.83;60.5;74.33;;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;-;A;A;A;A;B;B;B;-;B;B;A;A;A;A;A;-;A;A;A;-;A;A;A;H;H;A;A;H;-;A;-;-;A;A;-;B;A;B;B;A;A;H;H;-;H;H;A;A;-;H;H;A;H;-;A;B;-;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
21;15.83;2.83;10.75;13.58;45.33;6.92;35.5;42.42;;B;B;B;B;B;B;H;-;-;-;-;-;H;-;-;A;A;H;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;-;B;H;B;B;B;H;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;-;-;B;B;B;B;B;H;B;A;H;A;H;H;B;H;H;H;H;B;H;H;H;B;B;B;H;B;B;B;B;H;B;B;B;B;B;-;B;B;B;B;B;H;H;-;-;-;H;H;-;H;-;-;H;-;H;H;-;-;A;H;-;-;A;-;A;-;-;-;H;-;H;B;A;H;-;-;A;-;A;A;A;A;A;-;A;A;A;A;A;A;A;-;-;-;H;-;A;B;B;A;A;A
22;22.92;5.42;17.67;23.08;64.08;8.83;51.25;60.08;;H;H;H;A;A;A;-;A;A;A;A;A;A;A;A;A;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;H;A;H;H;H;H;H;H;-;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;H;H;B;B;H;A;A;A;A;H;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;H;H;H;H;H;H;H;H;H;A;B;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;A;A;A;A;A;A;H;-;H;H;A;H;A;-;A;H;H;H;H;A;H;H;H;H;H;H;H;H;H;H;H;H;H;A;A;A;A;A
23;20.5;3.58;14.83;18.42;64.92;11.92;61.75;73.67;;B;B;B;A;A;A;H;A;A;A;A;A;A;A;A;H;B;B;B;A;-;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;H;A;A;-;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;-;A;A;A;-;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;-;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;-;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;-;B;-;-;-;B;B;H;B;B;H;B;B;A;A;A;A;A
24;16.92;3.08;12.25;15.33;60.67;16.25;56;72.25;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;H;H;B;B;B;B;B;B;B;B;-;B;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;-;A
25;18.55;4.18;14.64;18.82;60.42;12.27;55.09;67.36;;B;B;B;B;B;B;B;B;B;H;H;H;H;H;H;-;H;H;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;H;H;H;H;-;-;-;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;A;A;B;B;B;B;B;B;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;H;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;A;A
26;21.17;5.75;18.92;24.67;72.18;11.4;74.8;86.2;;B;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;-;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;-;B;B;B;B;B;A;B;B;B;B;B;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;H;H;H;A;A;A;A;A;A;A;A;A;-;B;B;B;B;B;B;H;B;B;B
