RILNumber,Far_Red,Red,White,Blue,Dark,AssayID,44607520,44606354,T1G11,44607217,F21M12,44606370,44606867,44606517,44606468,21607648,44607652,21607761,44607971,44606183,MSAT1.10,21607640,44607660,21607615,ZFPG,21607242,44607693,44607528,NGA392,21607165,44607873,44606305,21607548,44607963,21607540,21607234,MSAT1.4,T27K12,44606411,44607168,44606883,21607361,44607299,21607065,44606973,21607336,44606875,44607152,44607611,21607411,21607057,44607364,44606794,21606928,NGA280,21606928,ATGGENEA,44607421,44606232,44607372,44607889,44607380,44606313,F5I14,21607700,21607386,21607030,ATHATPASE,44607217,44606541,44606419,MSAT2.5,44607470,44606444,NGA1145,44606322,44607930,44607503,21607038,44606199,21607005,44606598,T10J7-T7,21607259,44607898,44607063,44607332,PHYB,44607727,21607013,44606892,MSAT2.36,21607488,44607914,44606590,ATHGPA1,44606940,44607824,NGA361,21607157,44606810,NGA168,44607922,21607656,BIO2,44607619,44606769,21607209,44606533,21607479,NGA172,44606957,21606963,44606607,44607987,44607283,NGA162,44608020,21607175,NT204,44607022,44606631,44606436,44607087,44607586,44606281,21607573,44606908,44606208,44607120,21607496,MSAT3.32,44607578,44607735,44606265,44606672,21607675,21607683,44606843,44606330,21607369,CDC2BG,44606395,44606427,44607348,44608003,21607250,44607340,44606102,44606273,NGA6,44607784,21606963,MSAT4.39,21607623,44607553,21607327,44606216,44606493,NGA8,NGA1111,21607606,21607192,21607021,44606916,21607200,44606558,21607750,MSAT4.15,21607513,44607816,44606118,21607733,44607545,21607394,MSAT4.18,21607184,44607751,44607759,44606289,NGA1139,44606688,NGA1107,MSAT4.37,44606574,44607046,21607529,44606761,NGA225,44607234,NGA249,21607402,44607857,44606159,CA72,44607250,44607160,NGA139,44607209,21607148,NGA76,44607709,ATHPHYC,MSAT5.22,44606338,21606996,44607643,44606110,44607095,44607038,44606452,MSAT5.9,44607676,44606403,44607767,44606460,44606297,44606778,44607808,44607185,NGA129,44606745,JV65/66,44607995,44606712,44606826,44607193,JV75/76,MTH12,MBK-5
9,6,9.7,8,3.5,12,,B,B,B,B,B,B,B,B,B,-,A,A,A,A,-,A,A,A,A,A,A,A,A,-,A,A,A,B,-,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,-,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,-,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,A,A,A,A,-,A,-,-,A,A,A,-,A,A,A,-,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,-
10,4.8,6.5,5,3,11.9,,A,A,A,A,A,A,A,-,A,A,B,B,B,-,B,B,B,-,-,-,-,A,-,-,A,A,A,A,A,-,A,A,A,A,A,A,A,A,-,A,A,A,A,A,-,-,-,-,-,-,A,A,A,-,A,A,A,A,B,-,B,B,A,A,-,B,B,A,A,A,B,B,B,B,B,B,-,B,B,B,B,B,-,B,B,-,B,B,B,B,B,B,B,B,B,B,-,B,-,A,B,B,B,B,B,B,B,B,A,A,B,B,B,B,-,A,A,A,-,A,A,A,A,A,A,A,B,-,B,B,B,B,B,B,-,B,B,B,-,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,-,B,-,B,B,B,A,A,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
11,5.5,7,5.4,2.8,11.4,,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,-,A,A,A,A,B,B,B,B,B,-,A,A,A,A,A,A,A,-,-,A,-,-,A,A,A,A,A,-,A,-,A,-,A,-,-,A,A,A,A,A,A,A,A,A,B,B,A,A,-,B,B,B,-,-,-,B,-,-,-,B,-,-,-,B,B,B,B,B,B,B,B,A,-,B,B,-,-,-,-,-,B,B,B,B,B,A,A,A,A,A,A,A,A,-,-,A,A,A,-,A,B,B,B,-,-,A,A,A,-,A,-,A,-,A,A,-,A,A,A,A,-,A,-,A,A,A,A,A,A,B,-,-,-,-,-,B,-,B,B,B,B,B,B,B,B,B,B,B,-,B,B,A,A,B,-,A,A,A,A,A,B,-,-,B,B,B,B,B,-,A,A,A,-,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B
12,5.1,6.6,5,3,11.2,,B,B,B,B,B,B,B,B,B,B,-,B,B,A,A,A,-,A,A,A,A,A,A,A,A,B,B,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B,B,-,B,B,B,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,-,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B,B,A,A,A,A,A,B,B,B,B,B,B,B,B,B,A,A,A,B,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,A,A,A,A,A,A,B,B,B,B,B,B,B,B
13,-,-,7.2,3.8,13.3,,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,-,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,-,B,B,A,B,B,B,B,B,B,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,-,A,B,-,B,B,B,B,B,B,B,B,-,A,A,A,A,A,-,-,-,B,-,A,A,B,A,-,A,A,A,A,A,A,A,A,A,A,A,B,B,B,-,B,-,B,B,B,B,B,B,B,B,B,B,B,B,A
14,-,-,6.3,2.6,11.7,,A,A,A,A,A,A,-,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,-,-,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,A,A,-,A,A,-,-,A,B,B,A,-,A,A,A,A,-,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,-,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,A,A,A,A,B,B,B,A,A,A,A,A,A,-,A,A,A,-,A,-,A,A,A,A,A,A,-,A,A,-,A,B,B,B,-,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B
15,-,-,6.8,4,12.5,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,-,B,B,B,B,B,B,A,A,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,-,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,-,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B
16,-,-,6.7,2.9,11,,B,B,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,-,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B
17,-,-,5.8,2.8,12.6,,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,B,B,B,A,-,A,B,B,B,B,A,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A
18,-,-,-,2.7,10.6,,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,-
19,-,-,6.1,3.3,11,,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,-,A,-,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B
20,-,-,4.7,2.7,11.8,,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,-,A,A,B,B,B,A,-,A,B,B,B,B,A,B,B,B,B,B,B,B,B,B,A,A,A,A,-,A,A,A,A,A,A,B,B,B,B,B,B,B,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,-,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,B,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,-,B,A,A,A,A,A,A,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,B
